model,image,recall,gt_count,pred_count
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00010.jpg,1.0,1,1
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00020.jpg,1.0,2,2
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00030.jpg,1.0,3,3
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00040.jpg,1.0,3,3
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00050.jpg,1.0,3,4
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00060.jpg,1.0,3,4
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00070.jpg,1.0,3,3
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00080.jpg,1.0,3,3
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00090.jpg,1.0,3,3
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00100.jpg,1.0,3,3
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00120.jpg,1.0,4,4
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00130.jpg,1.0,5,5
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00140.jpg,1.0,5,6
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00180.jpg,1.0,6,6
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00190.jpg,1.0,6,6
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00200.jpg,1.0,6,6
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00210.jpg,1.0,6,6
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00220.jpg,1.0,7,7
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00230.jpg,1.0,7,7
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00240.jpg,1.0,8,8
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00250.jpg,1.0,8,8
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00270.jpg,1.0,9,9
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00290.jpg,1.0,9,9
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00320.jpg,1.0,7,8
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00330.jpg,1.0,7,7
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00340.jpg,1.0,7,7
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00390.jpg,1.0,9,9
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00400.jpg,1.0,8,8
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00420.jpg,1.0,9,9
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00430.jpg,1.0,8,8
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00440.jpg,1.0,9,9
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00460.jpg,1.0,8,9
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00480.jpg,1.0,10,10
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00490.jpg,1.0,11,11
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00500.jpg,1.0,11,11
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00510.jpg,1.0,11,11
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00530.jpg,1.0,9,9
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00560.jpg,1.0,10,10
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00570.jpg,1.0,10,10
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00580.jpg,1.0,11,11
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00590.jpg,1.0,10,10
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00610.jpg,1.0,12,12
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00630.jpg,1.0,9,9
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00640.jpg,1.0,9,9
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00650.jpg,1.0,10,10
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00660.jpg,1.0,10,10
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00670.jpg,1.0,10,10
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00690.jpg,1.0,11,11
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00700.jpg,1.0,11,12
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00840.jpg,1.0,12,12
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00910.jpg,1.0,9,9
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00920.jpg,1.0,9,9
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_00990.jpg,1.0,8,8
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_01010.jpg,1.0,7,7
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_01020.jpg,1.0,7,8
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_01030.jpg,1.0,8,8
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_01040.jpg,1.0,9,9
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_01050.jpg,1.0,9,9
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_01060.jpg,1.0,9,10
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_01070.jpg,1.0,9,9
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_01110.jpg,1.0,7,7
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_01130.jpg,1.0,7,7
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_01140.jpg,1.0,7,7
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_01170.jpg,1.0,8,8
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_01180.jpg,1.0,8,9
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_01230.jpg,1.0,12,12
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_01250.jpg,1.0,12,12
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_01290.jpg,1.0,10,11
../../runs/detect/train2/weights/best.pt,game_20251122_3r5hYvcN_01320.jpg,1.0,11,11
../../runs/detect/train2/weights/best.pt,game_20251122_45OhyXZV_00010.jpg,1.0,1,1
../../runs/detect/train2/weights/best.pt,game_20251122_45OhyXZV_00020.jpg,1.0,1,1
../../runs/detect/train2/weights/best.pt,game_20251122_45OhyXZV_00030.jpg,1.0,1,1
../../runs/detect/train2/weights/best.pt,game_20251122_45OhyXZV_00050.jpg,1.0,2,2
../../runs/detect/train2/weights/best.pt,game_20251122_45OhyXZV_00060.jpg,1.0,2,3
../../runs/detect/train2/weights/best.pt,game_20251122_45OhyXZV_00070.jpg,1.0,2,2
../../runs/detect/train2/weights/best.pt,game_20251122_45OhyXZV_00080.jpg,1.0,2,2
