epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.698,0.36651,0.46895,0.79892,0.97566,0.99759,0.99454,0.92472,0.33951,0.30023,0.78863,0.00027775,0.00027775,0.00027775
2,240.544,0.37315,0.49636,0.7978,0.95953,0.99716,0.99489,0.90304,0.30749,0.30316,0.78296,0.000538563,0.000538563,0.000538563
3,356.471,0.40782,0.48833,0.80142,0.9457,0.99469,0.99436,0.84585,0.32763,0.31126,0.78635,0.000770778,0.000770778,0.000770778
4,465.812,0.41453,0.46202,0.80085,0.91432,0.98824,0.995,0.8749,0.4405,0.48637,0.79507,0.000946016,0.000946016,0.000946016
5,579.173,0.40441,0.49407,0.80126,0.98146,0.99721,0.99369,0.93807,0.33198,0.29345,0.77979,0.000891022,0.000891022,0.000891022
6,693.702,0.37703,0.46603,0.79596,0.92455,0.99299,0.99482,0.92649,0.36774,0.36213,0.78549,0.000836027,0.000836027,0.000836027
7,800.674,0.36801,0.45503,0.80093,0.96074,0.99737,0.99468,0.91255,0.31056,0.30089,0.78076,0.000781033,0.000781033,0.000781033
8,909.56,0.35823,0.44083,0.79593,0.9278,0.99504,0.99377,0.94072,0.32919,0.31546,0.78476,0.000726038,0.000726038,0.000726038
9,1018.13,0.33829,0.44673,0.79774,0.95046,0.99484,0.99439,0.92769,0.30766,0.32629,0.78205,0.000671044,0.000671044,0.000671044
10,1125.67,0.33155,0.41687,0.79673,0.93321,0.98438,0.99418,0.85706,0.31948,0.34325,0.78907,0.000616049,0.000616049,0.000616049
11,1233.68,0.28444,0.40769,0.78795,0.96636,0.99736,0.99411,0.90551,0.31428,0.26297,0.78167,0.000561055,0.000561055,0.000561055
12,1354.6,0.28307,0.39986,0.78748,0.95828,0.99759,0.99482,0.90481,0.32266,0.28929,0.77942,0.00050606,0.00050606,0.00050606
13,1468.42,0.25832,0.39035,0.7847,0.9383,0.99548,0.99423,0.92259,0.27092,0.28199,0.77757,0.000451066,0.000451066,0.000451066
14,1578.52,0.24534,0.35676,0.79007,0.91686,0.99759,0.99379,0.92177,0.27526,0.25475,0.77878,0.000396071,0.000396071,0.000396071
15,1684.83,0.24384,0.35944,0.78685,0.95782,0.9856,0.99477,0.91206,0.28334,0.2577,0.78268,0.000341077,0.000341077,0.000341077
16,1790.63,0.25054,0.35836,0.78648,0.95461,0.98867,0.99489,0.89101,0.26461,0.26851,0.77771,0.000286083,0.000286083,0.000286083
17,1895.47,0.23239,0.35619,0.78452,0.97309,0.98223,0.99487,0.92573,0.27051,0.33652,0.77769,0.000231088,0.000231088,0.000231088
18,2004.68,0.23511,0.34675,0.78069,0.96266,0.99286,0.99495,0.92997,0.2687,0.27505,0.77516,0.000176094,0.000176094,0.000176094
19,2123.71,0.22601,0.37941,0.78963,0.94535,0.98428,0.99493,0.91607,0.24562,0.24434,0.77499,0.000121099,0.000121099,0.000121099
20,2241.38,0.22138,0.33688,0.78395,0.93975,0.98582,0.99482,0.92866,0.24749,0.28115,0.77595,6.61045e-05,6.61045e-05,6.61045e-05
